old_path,new_path,stage,role,executable_or_helper
02_Script/40_renewal_model/36_climate_forced_v4_9/scripts/13_phase4_5_routine_vaccination_cohort_qa.R,02_Script/40_renewal_model/38_ceara_current_pipeline/07_vaccine_validation/02_routine_age12_eligibility_qa.R,07_vaccine_validation,routine age-12 eligibility / cohort QA,executable
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/00_config.R,02_Script/40_renewal_model/38_ceara_current_pipeline/06_vaccine_counterfactual/01_config.R,06_vaccine_counterfactual,central configuration (paths/scenario/window),helper
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/01_load_accepted_inputs.R,02_Script/40_renewal_model/38_ceara_current_pipeline/06_vaccine_counterfactual/02_load_accepted_inputs.R,06_vaccine_counterfactual,load accepted climate fit inputs,helper
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/02_generic_age_vaccine_simulator.R,02_Script/40_renewal_model/38_ceara_current_pipeline/06_vaccine_counterfactual/03_generic_age_vaccine_simulator.R,06_vaccine_counterfactual,vaccine simulator with feedback switch (simulate_age_vaccine),helper
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/03_run_no_vaccine_arm.R,02_Script/40_renewal_model/38_ceara_current_pipeline/06_vaccine_counterfactual/04_run_no_vaccine_arm.R,06_vaccine_counterfactual,Arm A (no vaccine),helper
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/04_run_full_feedback_vaccine_arm.R,02_Script/40_renewal_model/38_ceara_current_pipeline/06_vaccine_counterfactual/05_run_full_feedback_vaccine_arm.R,06_vaccine_counterfactual,Arm B (full-feedback vaccine),helper
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/05_run_direct_only_diagnostic_arm.R,02_Script/40_renewal_model/38_ceara_current_pipeline/06_vaccine_counterfactual/06_run_direct_only_diagnostic_arm.R,06_vaccine_counterfactual,Arm C (direct-only diagnostic),helper
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/06_execute_three_arms_all_draws.R,02_Script/40_renewal_model/38_ceara_current_pipeline/06_vaccine_counterfactual/07_execute_three_arms_all_draws.R,06_vaccine_counterfactual,execute three arms across posterior draws,helper (function; called by 00_run_stage_06.R)
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/07_validate_counterfactuals.R,02_Script/40_renewal_model/38_ceara_current_pipeline/07_vaccine_validation/03_validate_historical_counterfactual.R,07_vaccine_validation,actual historical A/B/C counterfactual QA (10 checks),executable
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/08_summarise_impacts.R,02_Script/40_renewal_model/38_ceara_current_pipeline/08_impact_nnv_summaries/01_summarise_vaccine_impacts.R,08_impact_nnv_summaries,summarise vaccine impacts (Tables 1-3),executable
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/09_make_main_figures.R,02_Script/40_renewal_model/38_ceara_current_pipeline/09_publication_figures/01_make_main_vaccine_figures.R,09_publication_figures,main vaccine figures (Fig 1-3),executable
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/10_make_supplementary_figures.R,02_Script/40_renewal_model/38_ceara_current_pipeline/09_publication_figures/02_make_supplementary_vaccine_figures.R,09_publication_figures,supplementary vaccine figures (S1-S8),executable
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/11_calculate_nnv.R,02_Script/40_renewal_model/38_ceara_current_pipeline/08_impact_nnv_summaries/02_calculate_nnv.R,08_impact_nnv_summaries,calculate number-needed-to-vaccinate,executable
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/12_plot_nnv.R,02_Script/40_renewal_model/38_ceara_current_pipeline/09_publication_figures/03_make_nnv_figures.R,09_publication_figures,NNV figures,executable
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/13_validate_nnv.R,02_Script/40_renewal_model/38_ceara_current_pipeline/08_impact_nnv_summaries/03_validate_nnv.R,08_impact_nnv_summaries,validate NNV (10 QA checks),executable
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/99_run_all.R,RETIRED -- replaced by 02_Script/40_renewal_model/38_ceara_current_pipeline/06_vaccine_counterfactual/00_run_stage_06.R,06_vaccine_counterfactual,orchestrator (superseded),retired
02_Script/40_renewal_model/30_bahia_v4_9_replication/scripts/01_bahia_data_audit.R,02_Script/03_bahia_pipeline/01_input_preparation/01_bahia_data_audit.R,01_input_preparation,Bahia data audit,executable
02_Script/40_renewal_model/30_bahia_v4_9_replication/scripts/02_fit_bahia_v4_9.R,02_Script/03_bahia_pipeline/02_transmission_fitting/01_fit_bahia_v4_9.R,02_transmission_fitting,case-only v4.9 fit (q=0.05 primary + q-sweep),executable
02_Script/40_renewal_model/30_bahia_v4_9_replication/scripts/06_build_bahia_serology_windows.R,02_Script/03_bahia_pipeline/02_transmission_fitting/02_build_bahia_serology_windows.R,02_transmission_fitting,build serology survey windows,helper
02_Script/40_renewal_model/30_bahia_v4_9_replication/scripts/07_fit_bahia_multisite_serology.R,02_Script/03_bahia_pipeline/02_transmission_fitting/03_fit_bahia_multisite_serology.R,02_transmission_fitting,multisite serology fit,executable
02_Script/40_renewal_model/30_bahia_v4_9_replication/scripts/11_fit_bahia_global_q_multisite.R,02_Script/03_bahia_pipeline/02_transmission_fitting/04_fit_bahia_global_q_multisite.R,02_transmission_fitting,global-q multisite fit,executable
02_Script/40_renewal_model/30_bahia_v4_9_replication/scripts/03_plot_bahia_six_panel.R,02_Script/03_bahia_pipeline/03_model_diagnostics/01_plot_bahia_six_panel.R,03_model_diagnostics,six-panel plot,executable
02_Script/40_renewal_model/30_bahia_v4_9_replication/scripts/04_bahia_wave_ppc_and_figures.R,02_Script/03_bahia_pipeline/03_model_diagnostics/02_bahia_wave_ppc_and_figures.R,03_model_diagnostics,wave PPC and figures,executable
02_Script/40_renewal_model/30_bahia_v4_9_replication/scripts/05_compare_ceara_bahia_posteriors.R,02_Script/03_bahia_pipeline/03_model_diagnostics/03_compare_ceara_bahia_posteriors.R,03_model_diagnostics,cross-state posterior comparison,executable
02_Script/40_renewal_model/30_bahia_v4_9_replication/scripts/08_plot_bahia_multisite_six_panel.R,02_Script/03_bahia_pipeline/03_model_diagnostics/04_plot_bahia_multisite_six_panel.R,03_model_diagnostics,multisite six-panel plot,executable
02_Script/40_renewal_model/30_bahia_v4_9_replication/scripts/09_bahia_multisite_serology_diagnostics.R,02_Script/03_bahia_pipeline/03_model_diagnostics/05_bahia_multisite_serology_diagnostics.R,03_model_diagnostics,multisite serology diagnostics,executable
02_Script/40_renewal_model/30_bahia_v4_9_replication/scripts/10_step0_audit_multisite_serology_wiring.R,02_Script/03_bahia_pipeline/03_model_diagnostics/06_step0_audit_multisite_serology_wiring.R,03_model_diagnostics,multisite serology wiring audit,executable
02_Script/40_renewal_model/30_bahia_v4_9_replication/scripts/15_plot_bahia_global_q_seven_panel.R,02_Script/03_bahia_pipeline/03_model_diagnostics/07_plot_bahia_global_q_seven_panel.R,03_model_diagnostics,global-q seven-panel plot,executable
02_Script/40_renewal_model/30_bahia_v4_9_replication/scripts/16_plot_sero_ablation_comparison.R,02_Script/03_bahia_pipeline/03_model_diagnostics/08_plot_sero_ablation_comparison.R,03_model_diagnostics,serology-ablation comparison plot,executable
02_Script/40_renewal_model/30_bahia_v4_9_replication/scripts/12_prior_predictive_global_q.R,02_Script/03_bahia_pipeline/04_sensitivity_identification/01_prior_predictive_global_q.R,04_sensitivity_identification,global-q prior predictive check,executable
02_Script/40_renewal_model/30_bahia_v4_9_replication/scripts/13_global_q_identification_diagnostics.R,02_Script/03_bahia_pipeline/04_sensitivity_identification/02_global_q_identification_diagnostics.R,04_sensitivity_identification,global-q identification diagnostics,executable
02_Script/40_renewal_model/30_bahia_v4_9_replication/scripts/14_plot_global_q_diagnostics.R,02_Script/03_bahia_pipeline/04_sensitivity_identification/03_plot_global_q_diagnostics.R,04_sensitivity_identification,global-q diagnostics plot,executable
02_Script/40_renewal_model/31_bahia_spatial_turnover_diagnostic/scripts/01_build_bahia_municipality_week_panel.R,02_Script/03_bahia_pipeline/05_spatial_validation/01_build_bahia_municipality_week_panel.R,05_spatial_validation,build municipality-week panel,executable
02_Script/40_renewal_model/31_bahia_spatial_turnover_diagnostic/scripts/02_build_bahia_wave_burden.R,02_Script/03_bahia_pipeline/05_spatial_validation/02_build_bahia_wave_burden.R,05_spatial_validation,build wave burden,executable
02_Script/40_renewal_model/31_bahia_spatial_turnover_diagnostic/scripts/03_compute_turnover_metrics.R,02_Script/03_bahia_pipeline/05_spatial_validation/03_compute_turnover_metrics.R,05_spatial_validation,compute turnover metrics,executable
02_Script/40_renewal_model/31_bahia_spatial_turnover_diagnostic/scripts/04_prior_burden_vs_future_wave.R,02_Script/03_bahia_pipeline/05_spatial_validation/04_prior_burden_vs_future_wave.R,05_spatial_validation,prior burden vs future wave test,executable
02_Script/40_renewal_model/31_bahia_spatial_turnover_diagnostic/scripts/05_plot_wave_maps.R,02_Script/03_bahia_pipeline/05_spatial_validation/05_plot_wave_maps.R,05_spatial_validation,wave incidence maps,executable
02_Script/40_renewal_model/31_bahia_spatial_turnover_diagnostic/scripts/06_plot_turnover_heatmaps.R,02_Script/03_bahia_pipeline/05_spatial_validation/06_plot_turnover_heatmaps.R,05_spatial_validation,turnover heatmaps,executable
02_Script/40_renewal_model/32_bahia_global_q_local_consistency_audit/scripts/01_verify_reconstruction_and_load_inputs.R,02_Script/03_bahia_pipeline/05_spatial_validation/07_verify_reconstruction_and_load_inputs.R,05_spatial_validation,reconstruction verification,executable
02_Script/40_renewal_model/32_bahia_global_q_local_consistency_audit/scripts/02_state_arithmetic_check.R,02_Script/03_bahia_pipeline/05_spatial_validation/08_state_arithmetic_check.R,05_spatial_validation,state arithmetic check,executable
02_Script/40_renewal_model/32_bahia_global_q_local_consistency_audit/scripts/03_municipality_plausibility_audit.R,02_Script/03_bahia_pipeline/05_spatial_validation/09_municipality_plausibility_audit.R,05_spatial_validation,municipality plausibility audit,executable
02_Script/40_renewal_model/32_bahia_global_q_local_consistency_audit/scripts/04_map_implied_attack.R,02_Script/03_bahia_pipeline/05_spatial_validation/10_map_implied_attack.R,05_spatial_validation,implied-attack maps,executable
02_Script/40_renewal_model/32_bahia_global_q_local_consistency_audit/scripts/05_serology_window_alignment.R,02_Script/03_bahia_pipeline/05_spatial_validation/11_serology_window_alignment.R,05_spatial_validation,serology window alignment / implied-q,executable
02_Script/40_renewal_model/32_bahia_global_q_local_consistency_audit/scripts/06_propagate_posterior_and_check_2014.R,02_Script/03_bahia_pipeline/05_spatial_validation/12_propagate_posterior_and_check_2014.R,05_spatial_validation,posterior propagation + pre-2015 exposure check,executable
02_Script/40_renewal_model/32_bahia_global_q_local_consistency_audit/scripts/07_plot_serology_comparison_figures.R,02_Script/03_bahia_pipeline/05_spatial_validation/13_plot_serology_comparison_figures.R,05_spatial_validation,serology comparison figures,executable
02_Script/40_renewal_model/00_shared/01_build_ceara_state_weekly.R,02_Script/00_shared/functions/01_build_ceara_state_weekly.R,00_shared,shared build_state_weekly() helper (UF-agnostic),helper
02_Script/40_renewal_model/38_ceara_current_pipeline (all files),02_Script/02_ceara_pipeline (all files),02_ceara_pipeline,top-level relocation out of 40_renewal_model,executable/helper
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/01_pe_data_audit.R,02_Script/04_pernambuco_pipeline/01_input_preparation/01_pe_data_audit.R,01_input_preparation,Pernambuco data audit,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/02_build_pe_serology_window.R,02_Script/04_pernambuco_pipeline/02_transmission_fitting/01_build_pe_serology_window.R,02_transmission_fitting,build serology window (U14 Recife),helper
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/03_fit_pe_global_q.R,02_Script/04_pernambuco_pipeline/02_transmission_fitting/02_fit_pe_global_q.R,02_transmission_fitting,global-q model A/B/B-full fit,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/08_fit_pe_fixed_q_sweep.R,02_Script/04_pernambuco_pipeline/02_transmission_fitting/03_fit_pe_fixed_q_sweep.R,02_transmission_fitting,fixed-q sweep fit (q=0.05-0.30),executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/04_run_pe_diagnostics.R,02_Script/04_pernambuco_pipeline/03_model_diagnostics/01_run_pe_diagnostics.R,03_model_diagnostics,model A/B diagnostics,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/05_plot_pe_figures.R,02_Script/04_pernambuco_pipeline/03_model_diagnostics/02_plot_pe_figures.R,03_model_diagnostics,case fit and serology figures,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/06_cross_state_comparison.R,02_Script/04_pernambuco_pipeline/03_model_diagnostics/03_cross_state_comparison.R,03_model_diagnostics,CE/BA/PE descriptive comparison,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/07_plot_pe_six_seven_panel.R,02_Script/04_pernambuco_pipeline/03_model_diagnostics/04_plot_pe_six_seven_panel.R,03_model_diagnostics,six/seven-panel plot,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/09_summarise_pe_fixed_q_sweep.R,02_Script/04_pernambuco_pipeline/03_model_diagnostics/05_summarise_pe_fixed_q_sweep.R,03_model_diagnostics,summarise fixed-q sweep,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/10_plot_pe_fixedq_panel.R,02_Script/04_pernambuco_pipeline/03_model_diagnostics/06_plot_pe_fixedq_panel.R,03_model_diagnostics,fixed-q sweep panel plot,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/11_fit_pe_global_q_ridge_reparam.R,02_Script/04_pernambuco_pipeline/04_sensitivity_identification/01_fit_pe_global_q_ridge_reparam.R,04_sensitivity_identification,global-q ridge-reparam fit (modelC),executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/12_diagnose_pe_global_q_ridge_reparam.R,02_Script/04_pernambuco_pipeline/04_sensitivity_identification/02_diagnose_pe_global_q_ridge_reparam.R,04_sensitivity_identification,diagnose ridge-reparam fit,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/13_plot_pe_ridge_reparam_panel.R,02_Script/04_pernambuco_pipeline/04_sensitivity_identification/03_plot_pe_ridge_reparam_panel.R,04_sensitivity_identification,ridge-reparam panel plot,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/14_plot_pe_ridge_reparam_traceplots.R,02_Script/04_pernambuco_pipeline/04_sensitivity_identification/04_plot_pe_ridge_reparam_traceplots.R,04_sensitivity_identification,ridge-reparam traceplots,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/15_characterise_curved_ridge.R,02_Script/04_pernambuco_pipeline/04_sensitivity_identification/05_characterise_curved_ridge.R,04_sensitivity_identification,characterise curved ridge,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/16_free_quadratic_ridge_gate.R,02_Script/04_pernambuco_pipeline/04_sensitivity_identification/06_free_quadratic_ridge_gate.R,04_sensitivity_identification,free quadratic ridge gate check,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/17_fit_pe_curved_ridge_reparam.R,02_Script/04_pernambuco_pipeline/04_sensitivity_identification/07_fit_pe_curved_ridge_reparam.R,04_sensitivity_identification,curved ridge-reparam fit (modelD),executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/18_plot_curved_pilot_diagnostics.R,02_Script/04_pernambuco_pipeline/04_sensitivity_identification/08_plot_curved_pilot_diagnostics.R,04_sensitivity_identification,curved pilot diagnostics plot,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/19_fit_pe_curved_longwarmup_diagnostic.R,02_Script/04_pernambuco_pipeline/04_sensitivity_identification/09_fit_pe_curved_longwarmup_diagnostic.R,04_sensitivity_identification,curved long-warmup diagnostic fit,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/20_build_pe_municipality_week_panel.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/01_build_pe_municipality_week_panel.R,05_spatial_validation,build municipality-week panel,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/21_build_pe_wave_burden.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/02_build_pe_wave_burden.R,05_spatial_validation,build wave burden,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/22_compute_pe_turnover_metrics.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/03_compute_pe_turnover_metrics.R,05_spatial_validation,compute turnover metrics,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/23_pe_prior_burden_vs_future_wave.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/04_pe_prior_burden_vs_future_wave.R,05_spatial_validation,prior burden vs future wave test,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/24_plot_pe_wave_maps.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/05_plot_pe_wave_maps.R,05_spatial_validation,wave incidence maps,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/25_plot_pe_2016_vs_2021_22_hotspot_comparison.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/06_plot_pe_2016_vs_2021_22_hotspot_comparison.R,05_spatial_validation,2016 vs 2021-22 hotspot comparison,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/26_plot_pe_turnover_heatmaps.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/07_plot_pe_turnover_heatmaps.R,05_spatial_validation,turnover heatmaps,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/27_pe_cumulative_municipality_attack_under_q.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/08_pe_cumulative_municipality_attack_under_q.R,05_spatial_validation,cumulative municipality attack under q,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/28_build_pe_spatial_stratum_lookup.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/09_build_pe_spatial_stratum_lookup.R,05_spatial_validation,build spatial stratum lookup,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/29_pe_5strata_input_audit.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/10_pe_5strata_input_audit.R,05_spatial_validation,5-strata input audit,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/30_build_pe_5strata_stan_data.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/11_build_pe_5strata_stan_data.R,05_spatial_validation,build 5-strata Stan data,helper
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/31_fit_pe_5strata_spatial.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/12_fit_pe_5strata_spatial.R,05_spatial_validation,5-strata spatial fit (HALTED -- chain-1 warmup pathology; see PE_SPATIAL1_GEOMETRY_DIAGNOSTIC.md),executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/32_pe_5strata_hmc_and_identification.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/13_pe_5strata_hmc_and_identification.R,05_spatial_validation,5-strata HMC and identification (blocked -- missing fit),executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/33_pe_5strata_structural_diagnostics.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/14_pe_5strata_structural_diagnostics.R,05_spatial_validation,5-strata structural diagnostics (blocked -- missing fit),executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/34_pe_5strata_ppc_and_comparison.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/15_pe_5strata_ppc_and_comparison.R,05_spatial_validation,5-strata PPC and comparison (blocked -- missing fit),executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/35_pe_spatial1_geometry_diagnostic.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/16_pe_spatial1_geometry_diagnostic.R,05_spatial_validation,Spatial-1 geometry diagnostic (HALTED -- documents the chain-1 pathology),executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/36_build_pe_spatial0_stan_data.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/17_build_pe_spatial0_stan_data.R,05_spatial_validation,build Spatial-0 Stan data,helper
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/37_fit_pe_spatial0.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/18_fit_pe_spatial0.R,05_spatial_validation,Spatial-0 common-q baseline fit,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/38_pe_spatial0_branch_agreement_and_hmc.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/19_pe_spatial0_branch_agreement_and_hmc.R,05_spatial_validation,Spatial-0 branch agreement and HMC,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/39_plot_pe_spatial0_susceptibility_and_panels.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/20_plot_pe_spatial0_susceptibility_and_panels.R,05_spatial_validation,Spatial-0 susceptibility and panel plots,executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/40_pe_q2_feasibility_diagnostic.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/21_pe_q2_feasibility_diagnostic.R,05_spatial_validation,Q2 feasibility diagnostic (HALTED -- deterministic stop, no Stan fit; see PE_SPATIAL0_Q2_FEASIBILITY.md),executable
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/scripts/41_pe_regional_R_feasibility.R,02_Script/04_pernambuco_pipeline/05_spatial_validation/22_pe_regional_R_feasibility.R,05_spatial_validation,regional-R feasibility test (HALTED -- deterministic stop, no Stan fit; see PE_REGIONAL_R_FEASIBILITY.md),executable
02_Script/40_renewal_model/34_rio_de_janeiro_v4_9_replication/scripts/01_rj_data_audit.R,02_Script/05_rio_de_janeiro_pipeline/01_input_preparation/01_rj_data_audit.R,01_input_preparation,RJ state data audit,executable
02_Script/40_renewal_model/34_rio_de_janeiro_v4_9_replication/scripts/02_rj_episode_audit.R,02_Script/05_rio_de_janeiro_pipeline/01_input_preparation/02_rj_episode_audit.R,01_input_preparation,RJ episode audit,executable
02_Script/40_renewal_model/34_rio_de_janeiro_v4_9_replication/scripts/03_rj_v49_input_audit.R,02_Script/05_rio_de_janeiro_pipeline/01_input_preparation/03_rj_v49_input_audit.R,01_input_preparation,RJ v4.9 input audit,executable
02_Script/40_renewal_model/34_rio_de_janeiro_v4_9_replication/scripts/10_rj_city_data_audit.R,02_Script/05_rio_de_janeiro_pipeline/01_input_preparation/04_rj_city_data_audit.R,01_input_preparation,RJ city data audit,executable
02_Script/40_renewal_model/34_rio_de_janeiro_v4_9_replication/scripts/04_fit_rj_global_q_case_only.R,02_Script/05_rio_de_janeiro_pipeline/02_transmission_fitting/01_fit_rj_global_q_case_only.R,02_transmission_fitting,state global-q case-only fit,executable
02_Script/40_renewal_model/34_rio_de_janeiro_v4_9_replication/scripts/04b_fit_rj_global_q_case_only_ad098.R,02_Script/05_rio_de_janeiro_pipeline/02_transmission_fitting/02_fit_rj_global_q_case_only_ad098.R,02_transmission_fitting,state global-q case-only rescue fit (adapt_delta=0.98),executable
02_Script/40_renewal_model/34_rio_de_janeiro_v4_9_replication/scripts/06_fit_rj_targeted_fixed_q.R,02_Script/05_rio_de_janeiro_pipeline/02_transmission_fitting/03_fit_rj_targeted_fixed_q.R,02_transmission_fitting,state targeted fixed-q sweep (q=0.010-0.020),executable
02_Script/40_renewal_model/34_rio_de_janeiro_v4_9_replication/scripts/11_fit_rj_city_global_q_case_only.R,02_Script/05_rio_de_janeiro_pipeline/02_transmission_fitting/04_fit_rj_city_global_q_case_only.R,02_transmission_fitting,city global-q case-only fit,executable
02_Script/40_renewal_model/34_rio_de_janeiro_v4_9_replication/scripts/12_fit_rj_city_u10.R,02_Script/05_rio_de_janeiro_pipeline/02_transmission_fitting/05_fit_rj_city_u10.R,02_transmission_fitting,city U10-serology fit,executable
