old_path,new_path,stage,role,executable_or_helper
02_Script/40_renewal_model/36_climate_forced_v4_9/scripts/13_phase4_5_routine_vaccination_cohort_qa.R,02_Script/40_renewal_model/38_ceara_current_pipeline/07_vaccine_validation/02_routine_age12_eligibility_qa.R,07_vaccine_validation,routine age-12 eligibility / cohort QA,executable
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/00_config.R,02_Script/40_renewal_model/38_ceara_current_pipeline/06_vaccine_counterfactual/01_config.R,06_vaccine_counterfactual,central configuration (paths/scenario/window),helper
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/01_load_accepted_inputs.R,02_Script/40_renewal_model/38_ceara_current_pipeline/06_vaccine_counterfactual/02_load_accepted_inputs.R,06_vaccine_counterfactual,load accepted climate fit inputs,helper
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/02_generic_age_vaccine_simulator.R,02_Script/40_renewal_model/38_ceara_current_pipeline/06_vaccine_counterfactual/03_generic_age_vaccine_simulator.R,06_vaccine_counterfactual,vaccine simulator with feedback switch (simulate_age_vaccine),helper
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/03_run_no_vaccine_arm.R,02_Script/40_renewal_model/38_ceara_current_pipeline/06_vaccine_counterfactual/04_run_no_vaccine_arm.R,06_vaccine_counterfactual,Arm A (no vaccine),helper
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/04_run_full_feedback_vaccine_arm.R,02_Script/40_renewal_model/38_ceara_current_pipeline/06_vaccine_counterfactual/05_run_full_feedback_vaccine_arm.R,06_vaccine_counterfactual,Arm B (full-feedback vaccine),helper
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/05_run_direct_only_diagnostic_arm.R,02_Script/40_renewal_model/38_ceara_current_pipeline/06_vaccine_counterfactual/06_run_direct_only_diagnostic_arm.R,06_vaccine_counterfactual,Arm C (direct-only diagnostic),helper
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/06_execute_three_arms_all_draws.R,02_Script/40_renewal_model/38_ceara_current_pipeline/06_vaccine_counterfactual/07_execute_three_arms_all_draws.R,06_vaccine_counterfactual,execute three arms across posterior draws,helper (function; called by 00_run_stage_06.R)
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/07_validate_counterfactuals.R,02_Script/40_renewal_model/38_ceara_current_pipeline/07_vaccine_validation/03_validate_historical_counterfactual.R,07_vaccine_validation,actual historical A/B/C counterfactual QA (10 checks),executable
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/08_summarise_impacts.R,02_Script/40_renewal_model/38_ceara_current_pipeline/08_impact_nnv_summaries/01_summarise_vaccine_impacts.R,08_impact_nnv_summaries,summarise vaccine impacts (Tables 1-3),executable
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/09_make_main_figures.R,02_Script/40_renewal_model/38_ceara_current_pipeline/09_publication_figures/01_make_main_vaccine_figures.R,09_publication_figures,main vaccine figures (Fig 1-3),executable
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/10_make_supplementary_figures.R,02_Script/40_renewal_model/38_ceara_current_pipeline/09_publication_figures/02_make_supplementary_vaccine_figures.R,09_publication_figures,supplementary vaccine figures (S1-S8),executable
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/11_calculate_nnv.R,02_Script/40_renewal_model/38_ceara_current_pipeline/08_impact_nnv_summaries/02_calculate_nnv.R,08_impact_nnv_summaries,calculate number-needed-to-vaccinate,executable
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/12_plot_nnv.R,02_Script/40_renewal_model/38_ceara_current_pipeline/09_publication_figures/03_make_nnv_figures.R,09_publication_figures,NNV figures,executable
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/13_validate_nnv.R,02_Script/40_renewal_model/38_ceara_current_pipeline/08_impact_nnv_summaries/03_validate_nnv.R,08_impact_nnv_summaries,validate NNV (10 QA checks),executable
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/scripts/99_run_all.R,RETIRED -- replaced by 02_Script/40_renewal_model/38_ceara_current_pipeline/06_vaccine_counterfactual/00_run_stage_06.R,06_vaccine_counterfactual,orchestrator (superseded),retired
